TITLE="Graphics"
VARIABLES= "x", "T_CH", "Y_h_CH","Y_h2_CH","Y_o_CH","Y_o2_CH","Y_oh_CH","Y_h2o_CH","Y_n2_CH","Y_ho2_CH","Y_h2o2_CH","Y_co_CH","Y_co2_CH","Y_ch2o_CH","Y_hco_CH","Y_ch3oh_CH","Y_ch2oh_CH","Y_ch3o_CH","Y_ch3o2_CH","Y_ch4_CH","Y_ch3_CH","Y_ch2_CH","Y_ch2(s)_CH","Y_c2h6_CH","Y_c2h5o2_CH","Y_c2h5_CH","Y_c2h4_CH","Y_c2h3_CH","Y_c2h2_CH","Y_ch2cho_CH","Y_ch2co_CH","Y_hcco_CH","Y_nc3h7_CH","Y_c3h6_CH","Y_c3h5-a_CH","Y_c3h5o_CH","Y_c3h4-a_CH","Y_nc3h7o2_CH","Y_c2h3cho_CH","Y_nc7h16_CH","Y_c7h15_CH","Y_c7h15o2_CH","Y_c7h14ooh_CH","Y_c7h14_CH","Y_c7h14ooho2_CH","Y_nc7ket_CH","Y_c7h14o_CH","Y_nc3h7cho_CH"
-2.0,300.0,2.640129E-27,1.988419E-9,5.009826E-24,0.2184336,3.792718E-23,4.25415E-12,0.7193815,8.747721E-15,1.329976E-14,1.041143E-12,3.315701E-14,3.64014E-15,6.712876E-31,3.537435E-16,7.345487E-36,2.471372E-27,2.871523E-16,7.44267E-14,1.12531E-28,6.950057E-37,-2.684854E-36,9.110058E-16,3.312429E-19,1.15772E-30,1.154581E-13,5.85146E-32,9.192272E-15,3.58792E-17,7.614477E-17,3.355971E-35,1.65522E-36,1.717303E-15,1.738774E-19,5.253916E-22,1.738189E-17,1.176437E-21,2.243067E-18,0.06218489,1.239512E-25,4.020702E-18,2.230361E-27,2.69358E-19,2.11208E-21,1.765149E-21,1.52016E-20,2.246101E-19
-1.0,300.0,9.257473E-26,1.061733E-7,6.539494E-22,0.2184335,5.0505E-21,8.076235E-10,0.7193814,1.800493E-12,2.757041E-12,2.140169E-10,9.043125E-12,1.002796E-12,1.833267E-28,9.927983E-14,2.03575E-33,6.849232E-25,8.775453E-14,1.407247E-11,2.118936E-26,1.278396E-34,-4.938546E-34,2.655028E-13,1.293804E-16,3.344996E-28,2.625724E-11,1.429302E-29,2.222689E-12,1.154523E-14,2.437983E-14,5.738697E-33,6.084513E-34,5.349421E-13,5.526883E-17,2.173809E-19,5.622837E-15,5.504595E-19,9.740544E-16,0.0621849,7.771038E-23,2.756351E-15,1.529001E-24,1.658376E-16,1.782798E-18,1.279336E-18,1.000546E-17,1.044292E-16
-0.1,300.0013,4.199772E-21,4.867376E-6,2.859215E-18,0.2184328,1.793105E-18,1.312453E-7,0.7193767,3.171969E-10,4.89189E-10,3.765515E-8,2.11048E-9,2.363387E-10,6.434535E-25,2.3842E-11,1.938973E-28,2.972951E-20,2.294608E-11,2.277684E-9,1.243258E-21,1.152607E-28,-1.581463E-34,6.620842E-11,4.323406E-14,2.346611E-23,5.110538E-9,4.930349E-26,4.5994E-10,3.258844E-12,6.678603E-12,3.999596E-27,6.289545E-29,1.425739E-10,1.503091E-14,7.4563E-16,1.556235E-12,2.203296E-16,3.611391E-13,0.0621855,2.764312E-20,1.092218E-12,6.059955E-22,8.732499E-14,5.056343E-16,7.929153E-16,5.63216E-15,4.153142E-14
0.0,300.0157,9.446367E-19,1.925725E-5,7.363103E-16,0.2184298,1.113753E-16,1.514244E-6,0.7193614,3.945016E-9,6.116479E-9,4.673242E-7,3.406794E-8,3.850101E-9,1.692497E-22,3.953509E-10,2.228711E-25,4.212651E-17,4.126321E-10,2.618224E-8,3.550458E-19,4.392199E-25,4.628123E-32,1.137543E-9,9.911878E-13,8.048393E-21,6.963046E-8,1.032801E-23,6.634087E-9,6.281401E-11,1.254072E-10,1.458508E-23,3.586177E-25,2.60847E-9,2.804489E-13,1.517908E-13,2.950842E-11,6.008046E-15,8.931147E-12,0.06218734,1.731994E-18,3.174519E-11,1.764413E-20,3.072898E-12,6.053067E-15,3.270461E-14,2.114859E-13,1.113776E-12
0.05,300.1322,9.897724E-17,5.473337E-5,1.847881E-14,0.2184171,9.08758E-15,1.199888E-5,0.7193185,3.36657E-8,5.243924E-8,3.978006E-6,3.756427E-7,4.284239E-8,1.708906E-20,4.476396E-9,2.290549E-22,1.188117E-14,5.063347E-9,2.06731E-7,4.741928E-17,1.123717E-22,1.522434E-32,1.333955E-8,1.552913E-11,1.294968E-18,6.496547E-7,5.910222E-22,6.546719E-8,8.107397E-10,1.605511E-9,3.709471E-21,1.744071E-22,3.254755E-8,3.569666E-12,4.605418E-12,3.814406E-10,1.117963E-13,1.502897E-10,0.06219216,1.403861E-16,7.822603E-10,4.405378E-19,7.334465E-11,1.445826E-13,9.14185E-13,5.384385E-12,2.029663E-11
0.074,300.6052,2.991516E-15,1.047713E-4,1.525122E-13,0.2183775,2.667592E-13,5.216099E-5,0.7192395,1.567156E-7,2.438796E-7,1.840835E-5,2.186411E-6,2.51342E-7,1.176931E-18,2.668221E-8,4.42124E-20,8.980648E-13,3.256472E-8,8.960744E-7,1.839807E-15,5.090675E-21,8.096952E-30,8.207381E-8,1.298663E-10,6.001348E-17,3.258403E-6,4.778439E-20,3.450828E-7,5.431611E-9,1.069627E-8,1.832844E-19,2.128358E-20,2.118365E-7,2.376306E-11,5.384718E-11,2.563761E-9,1.098368E-12,1.289155E-9,0.06220001,4.134255E-15,9.27137E-9,5.50027E-18,8.729197E-10,2.048419E-12,1.264668E-11,6.813693E-11,1.87333E-10
0.098,303.3438,1.346301E-13,2.174198E-4,1.214725E-12,0.2181645,1.1626E-11,2.731057E-4,0.7189689,8.919075E-7,1.372807E-6,1.033213E-4,1.573548E-5,1.822635E-6,2.547616E-16,1.969501E-7,1.573098E-17,4.927007E-11,2.624162E-7,4.680795E-6,1.143931E-13,2.801989E-19,2.467198E-26,6.270509E-7,1.476767E-9,4.423591E-15,1.996067E-5,1.280921E-17,2.231089E-6,4.541807E-8,8.896473E-8,1.748288E-17,2.724194E-18,1.71879E-6,1.999521E-10,6.93749E-10,2.152931E-8,1.480109E-11,1.407128E-8,0.06222296,1.860706E-13,1.376549E-7,1.097083E-16,1.337789E-8,4.028553E-11,2.265119E-10,1.112865E-9,2.200871E-9
0.1,304.1586,2.444306E-13,2.331338E-4,1.768122E-12,0.2181011,2.115269E-11,3.361033E-4,0.7189089,1.1292E-6,1.709E-6,1.290222E-4,2.080747E-5,2.411585E-6,6.062232E-16,2.620808E-7,3.925008E-17,1.671618E-10,3.616027E-7,5.759166E-6,2.569369E-13,5.378676E-19,1.032441E-25,8.41994E-7,2.611991E-9,1.034225E-14,2.540257E-5,3.061217E-17,2.874585E-6,6.248627E-8,1.222182E-7,4.057373E-17,9.628765E-18,2.34532E-6,2.843069E-10,1.081417E-9,2.965747E-8,2.836423E-11,2.099024E-8,0.06222737,3.41831E-13,2.064109E-7,1.793991E-16,2.264405E-8,7.634579E-11,4.098927E-10,1.934404E-9,3.368073E-9
0.1083333,310.9585,2.620541E-12,3.15575E-4,6.431242E-12,0.2175631,2.156654E-10,8.456448E-4,0.7184725,3.173601E-6,4.543187E-6,3.4629E-4,7.078368E-5,8.22998E-6,1.992214E-14,9.137453E-7,1.546491E-15,1.903818E-9,1.420147E-6,1.449613E-5,4.601357E-12,6.663907E-18,2.241032E-23,3.044686E-6,1.824658E-8,1.823646E-13,7.383834E-5,1.065669E-15,8.795792E-6,2.480652E-7,4.82609E-7,1.185885E-15,2.766805E-16,9.026532E-6,1.226487E-9,6.169557E-9,1.183747E-7,2.390058E-10,1.123487E-7,0.06225604,3.77299E-12,1.370851E-6,2.395941E-15,1.804873E-7,8.584328E-10,3.950962E-9,1.6657E-8,1.955932E-8
0.1166667,328.2719,2.590471E-11,4.306147E-4,2.562251E-11,0.2161522,1.837968E-9,0.002091458,0.7175007,8.91338E-6,1.172321E-5,9.109207E-4,2.265003E-4,2.62466E-5,5.219164E-13,2.976446E-6,4.615909E-14,1.687988E-8,5.187493E-6,3.602839E-5,7.203453E-11,9.20269E-17,4.478915E-21,1.02334E-5,1.239379E-7,2.123629E-12,2.074977E-4,3.556091E-14,2.579765E-5,8.958501E-7,1.735711E-6,3.511825E-14,8.79071E-15,3.185192E-5,5.248224E-9,2.812682E-8,4.297349E-7,1.888568E-9,5.095354E-7,0.06230907,3.894276E-11,7.05434E-6,6.141112E-14,1.093742E-6,6.68699E-9,2.742054E-8,1.066656E-7,9.414476E-8
