TITLE="Graphics"
VARIABLES= "x", "T_can", "Y_H_can", "Y_H2_can", "Y_O_can", "Y_O2_can", "Y_OH_can", "Y_H2O_can", "Y_N2_can", "Y_HO2_can", "Y_H2O2_can", "Y_CO_can", "Y_CO2_can", "Y_CH2O_can", "Y_HCO_can", "Y_CH3OH_can", "Y_CH2OH_can", "Y_CH3O_can", "Y_CH3O2_can", "Y_CH4_can", "Y_CH3_can", "Y_CH2_can", "Y_CH2(S)_can", "Y_C2H6_can", "Y_C2H5O2_can", "Y_C2H5_can", "Y_C2H4_can", "Y_C2H3_can", "Y_C2H2_can", "Y_CH2CHO_can", "Y_CH2CO_can", "Y_HCCO_can", "Y_NC3H7_can", "Y_C3H6_can", "Y_C3H5-A_can", "Y_C3H5O_can", "Y_C3H4-A_can", "Y_NC3H7O2_can", "Y_C2H3CHO_can", "Y_NC7H16_can", "Y_C7H15_can", "Y_C7H15O2_can", "Y_C7H14OOH_can", "Y_C7H14_can", "Y_C7H14OOHO2_can", "Y_NC7KET_can", "Y_C7H14O_can", "Y_NC3H7CHO_can", "Y_NC3H7CO_can"
-0.9929882812499999, 300.0,1.0544113122463495e-14,4.252880351903216e-09,1.2587452396062488e-13,0.22266088822399788,6.003695214928183e-19,1.6255630405904721e-12,0.7329664075517719,1.2088047667026201e-14,-3.457721252830607e-13,2.666108501889404e-13,3.412222600528602e-15,4.4977619658263397e-13,6.049916045310254e-29,2.2059969602321598e-16,-2.5138946566420275e-32,-2.485018746052815e-23,1.4371677531299878e-14,8.704350391425948e-15,2.1033834755127152e-13,5.0258306177878235e-29,-1.9825168577537168e-14,-7.559193495629742e-15,3.8963544059458753e-16,1.0984329234163468e-14,2.7249426254065756e-14,-3.777651343785054e-32,1.2212183581593688e-15,-2.533998395394748e-14,-8.49732476582034e-15,1.2863686232246604e-29,-5.111547030458819e-13,9.025662534965795e-15,-1.9890096683443158e-13,6.215596026965578e-20,3.6159681937413115e-16,-1.2572854250142213e-14,1.7164318430395573e-13,0.044372699969316025,-8.811048732015258e-14,1.6115617877118968e-14,-3.069327314977257e-14,6.735586321158248e-14,-2.63314694092522e-16,1.9684404974214685e-13,4.1797252495249866e-14,1.21493949471609e-14,9.057583991122279e-30
-0.7129882812499998, 300.000000349113,1.867536286996442e-19,3.917673420810056e-08,8.903875726546853e-15,0.22266088366465636,1.2809768507389368e-17,4.4170040187259575e-11,0.7329663739219178,3.916178095478744e-13,-2.1801306403150587e-13,6.09420351478802e-12,1.5016921636192781e-13,4.560743233716216e-13,2.5698576881584395e-27,8.180993638498901e-16,-1.0835732806851333e-30,-1.0713709534898127e-21,6.809698925964869e-13,3.0844183807875773e-13,4.0624312889944706e-18,-8.443434556565786e-29,-7.020732545446649e-21,-6.90195716707172e-15,2.351053970637611e-14,4.93607579938182e-19,4.2783831066119144e-13,-1.4416678123571927e-30,1.4389437698208096e-14,-2.499753548057242e-14,-8.38727886364492e-15,3.468567662156775e-28,-2.6121466715609256e-18,1.081844794038763e-14,-1.9890038050551211e-13,-4.6283865735326975e-20,3.834753121515352e-16,-9.066416858390528e-13,1.716437121132272e-13,0.04437270318316663,2.883242475269109e-19,1.695034218017508e-12,-9.409715460193982e-20,6.73558748243945e-14,-3.4061330825228525e-14,1.9684310718415588e-13,4.1797255536667423e-14,1.2149443284202562e-14,6.663808652516095e-28
-0.4329882812499998, 300.00001116742936,4.443142975430494e-24,3.608894154590305e-07,6.361949445453823e-16,0.2226608413555765,1.1194190591990536e-18,1.3068432559231556e-09,0.7329660633885221,1.6146171861438334e-12,3.790815688418945e-12,1.9614466489909687e-10,6.385511058505046e-12,7.353643114712011e-13,5.794775591515163e-27,2.6886557075785357e-14,1.9998116568714432e-32,-1.138513832438862e-21,6.863795283522404e-13,9.258506135819169e-12,8.024286561830412e-23,2.549206638089928e-29,-2.5147879023879573e-27,2.2773164324627135e-14,2.3486725102168152e-14,-3.684669009290877e-22,1.468610753633999e-11,-4.041003128569343e-30,5.121288550037246e-13,-2.374069946340305e-14,-2.9232216468137674e-15,9.3953423379034e-28,-1.34270124290486e-23,9.757312251049734e-14,-1.988821751644317e-13,-6.948430221383952e-20,1.4823725165969207e-15,-9.066172993739691e-13,1.716919432592088e-13,0.044372732824496074,2.4219954752746336e-20,1.8357564397843786e-12,1.0124079068862507e-21,6.735656028178277e-14,-3.3693784167924865e-14,1.968423023334063e-13,4.1797307955597015e-14,1.2152862559367242e-14,-2.896356431336768e-28
-0.29298828124999987, 300.00013980676397,7.289597701125868e-24,1.5124494300165898e-06,8.789797241852573e-17,0.22266068588260024,1.4643483254037853e-19,1.5553337033383314e-08,0.7329649438875107,1.6742249060321992e-11,5.327159376676378e-11,2.528335704142905e-09,1.065122126013394e-10,5.260433114892367e-12,1.1808235836694835e-26,4.566531835528886e-13,2.46580705054598e-31,-2.21854515380455e-21,7.829588424916629e-13,1.1059532666932786e-10,3.230310537571822e-23,5.718318486085216e-29,-1.8832875384839423e-33,5.31815136866907e-13,2.3339493937060645e-14,-4.9023685380280635e-21,2.0680069084768828e-10,2.939496304226919e-29,7.629580755282526e-12,-5.705325708574698e-15,9.949940671766332e-14,1.937130284564801e-27,-1.4341054770527097e-28,1.6827266047361118e-12,-1.985466453676683e-13,4.378471802254457e-19,2.2317858531777997e-14,-9.064316697923453e-13,1.7291675271502712e-13,0.044372839187182773,3.2586431790555154e-21,1.845214537119336e-12,1.0179500580381486e-21,6.737954697479945e-14,-3.350908785011522e-14,1.968424210802604e-13,4.1798316211128924e-14,1.2245026062682077e-14,-2.711386169308945e-29
-0.22298828124999986, 300.0009367338018,1.0723751598645783e-22,3.8613651952992526e-06,2.2994037592577938e-17,0.22266034295228818,1.0606075192433754e-19,9.948667323065517e-08,0.7329626173277017,1.1339268718333449e-10,3.713731834418503e-10,1.7421195203566773e-08,9.354655398129119e-10,4.3022006777102573e-11,4.249030179617999e-26,4.10671168528143e-12,1.8433912730727223e-30,-1.1936288129868509e-20,1.6712348331011806e-12,7.096283892831193e-10,2.2926038752812644e-22,1.2150634911556606e-28,-3.059666593354469e-39,5.025128500597296e-12,2.296543996020529e-14,-3.3703613421459697e-20,1.5491102385902062e-09,1.5503174403886704e-27,6.029768124881611e-11,1.683165310202226e-13,1.0850588953760406e-12,4.0063835673045986e-27,-2.100864343304056e-30,1.6560855387007902e-11,-1.9533762977400724e-13,2.3661063374616993e-17,2.250527010585439e-13,-9.057645494763163e-13,1.8868789102538275e-13,0.044373057634567066,1.5861596562055884e-21,1.850158646460272e-12,1.0207966948358221e-21,6.779209327696214e-14,-3.3416462397275594e-14,1.9684502795615425e-13,4.1815969379001544e-14,1.3511968615537944e-14,1.142390566269539e-28
-0.1879882812499999, 300.00360413761877,1.5164121990375637e-21,6.844271513189374e-06,1.6977221489751995e-17,0.22265982186792763,6.659939094182875e-19,3.6771808252269206e-07,0.7329595416560267,4.462332908698581e-10,1.4734461157537649e-09,6.869591641610608e-08,4.574178979884126e-09,2.1001884210748145e-10,3.544155256369367e-25,2.0519429516586303e-11,6.37021865250642e-29,-5.188776755164038e-20,5.9782152282744e-12,2.6299334297041746e-09,9.10871387356879e-22,4.100239724086033e-28,-2.0081200218831467e-35,2.597973101484756e-11,2.299902251137902e-14,-1.3265809912097321e-19,6.574079412511933e-09,2.2052582593455397e-26,2.6833342103015686e-10,1.0555144829484576e-12,6.0732105342170054e-12,1.3209822544527382e-26,-7.90263668765854e-31,9.010291113201579e-11,-1.7918552313062128e-13,3.3553745764656537e-16,1.2620688820340132e-12,-9.042648389883029e-13,2.941026685560762e-13,0.04437333946192666,7.507776149961993e-21,1.878762425661655e-12,1.0369189298937743e-21,7.161757371770067e-14,-3.336817448657827e-14,1.9686580144351514e-13,4.1988569876814307e-14,2.2538428607375474e-14,2.0053267720644376e-27
-0.15298828124999994, 300.0163945161107,4.1728738720026614e-20,1.2889327440847204e-05,6.873016253598514e-17,0.22265835984219567,8.868798430911161e-18,1.600060043317708e-06,0.7329528154713282,2.085543714333042e-09,6.9316383776876824e-09,3.2116572707616745e-07,2.708321670207542e-08,1.2503768186841997e-09,5.467133316101797e-24,1.243904313604678e-10,5.692039804812679e-27,-4.2236169416263407e-20,3.525900438609165e-11,1.1477865697690004e-08,5.443502425197846e-21,9.18029219727531e-27,1.450792312104953e-35,1.6325959095326705e-10,2.932266106144387e-14,-6.156212888006857e-19,3.333038483153048e-08,3.093470348798749e-25,1.4333095585198089e-09,7.375457340448907e-12,4.139718881974453e-11,2.8809411530364224e-25,1.6579192151661312e-28,5.992999411334437e-10,-6.53941920015534e-14,4.590886184643342e-15,8.680309785313813e-12,-8.980645032864778e-13,1.2686279713876949e-12,0.04437392955828044,9.680649024386001e-20,2.208268518300376e-12,1.2205710663530938e-21,1.202174704554385e-13,-3.329631211061274e-14,1.9715732317558845e-13,4.431665572233846e-14,1.1129484833289605e-13,1.5742757616785792e-25
-0.13548828124999995, 300.0409857601838,3.4389141472418286e-19,1.8238921689004924e-05,2.537084941112196e-16,0.22265629440196927,5.591654035916966e-17,3.8771274920589254e-06,0.7329460519227511,5.319146195322888e-09,1.7749963387134547e-08,8.188714501032549e-07,8.210850501086505e-08,3.810688096869902e-09,3.99939438515404e-23,3.838689946312851e-10,1.1970607709845768e-25,3.211224892998195e-18,1.1358600006800011e-10,2.787084296933981e-08,2.87741246103635e-20,9.823242377169424e-26,-1.1102267353857488e-34,5.176571077883512e-10,6.067831647080075e-14,-1.5527015264390718e-18,9.009722873219766e-08,1.9180868737994666e-24,4.0251721320677806e-09,2.5046161604391958e-11,1.396116438467895e-10,3.024299749199012e-24,5.3495062082429845e-27,1.9849628035664477e-09,2.494476449888927e-13,2.6819383575999756e-14,2.950588410825308e-11,-8.893553382045829e-13,4.76610465038478e-12,0.044374484569985814,6.067602664883446e-19,3.6344088484906533e-12,2.0143599411040014e-21,3.5782527601393824e-13,-3.315815365952535e-14,1.9879576036833234e-13,5.639562770314862e-14,4.496391956769635e-13,6.2840095766884894e-24
-0.1179882812499998, 300.1121957400866,3.548083289629963e-18,2.6333438579240135e-05,9.429594474244215e-16,0.22265108856543522,4.911769728664102e-16,1.0244976921446564e-05,0.7329339092008238,1.4902627458489655e-08,4.9939709362166e-08,2.292758678425122e-06,2.797694130107607e-07,1.3063652701932471e-08,3.814419878187578e-22,1.334458587303289e-09,3.990991241223825e-24,5.653860559068088e-17,4.1906890846931074e-10,7.382448501929595e-08,3.0109770718283585e-19,1.1892583738377984e-24,2.1222480426190312e-35,1.8554366520426075e-09,2.2687718548248445e-13,-4.224234602671795e-18,2.6957441562389347e-07,1.5250965492127841e-23,1.257629469822557e-08,9.676043991626144e-11,5.363781041363633e-10,3.659387393129065e-23,1.976338500304529e-25,7.473588312869846e-09,1.515774532725943e-12,1.6563810948413355e-13,1.1438581386848059e-10,-8.67295639762099e-13,2.2671694088720552e-11,0.044375405537691606,5.308556075555072e-18,1.2891733246269616e-11,7.201543066648486e-21,1.9856444670089205e-12,-3.227422700737692e-14,2.1169576102813996e-13,1.4397916860736648e-13,2.281796192363524e-12,2.1651079865455807e-22
-0.10923828124999972, 300.19839175750053,1.3788643789415075e-17,3.193781332370712e-05,1.996782239662069e-15,0.22264512292285887,1.822608898534451e-15,1.7717302243780005e-05,0.7329235833999076,2.676116765783203e-08,8.986803522869424e-08,4.113454695369587e-06,5.706794704186557e-07,2.6757016234678572e-08,1.652747422775111e-21,2.7588788727143183e-09,3.2519231769022073e-23,3.349890897082703e-16,9.043316033578881e-10,1.278669829963547e-07,1.3435798049962527e-18,5.011246288841986e-24,1.643059326732141e-34,3.915920049768712e-09,5.641533353399244e-13,-7.354407475158887e-18,5.047551705315818e-07,6.416503059682119e-23,2.4222360330395427e-08,2.1483425462401607e-10,1.1868941953987869e-09,1.588479735382157e-22,2.0504323813037577e-24,1.631040330773945e-08,3.58410868449822e-12,5.065463100363539e-13,2.546955196566536e-10,-8.454477441901419e-13,5.926454096252305e-11,0.044376128539164734,1.968915254710492e-17,3.535304567556255e-11,1.9936363073277586e-20,6.369954378173161e-12,-2.966173728295357e-14,2.5142167235080314e-13,3.930134367982731e-13,6.230278922540302e-12,2.790655678450714e-21
