VARIABLES= Temp_[K], H-H298_[kcal/mol], G-H298_[kcal/mol], Cp_[cal/(mol-K)], S_[cal/(mol-K)], Viscosity_[gm/(cm-s)], Therm_Cond_[erg/(cm-s-K)], Dif_Co_with_AR_[cm^2/s]
   298.15    0.000     -8.181      4.97      27.44     9.4845E-05 2.9338E+04       1.274    
   300.00    0.009     -8.232      4.97      27.47     9.5323E-05 2.9486E+04       1.289    
   310.00    0.059     -8.507      4.97      27.63     9.7891E-05 3.0280E+04       1.370    
   320.00    0.109     -8.784      4.97      27.79     1.0043E-04 3.1065E+04       1.453    
   330.00    0.158     -9.063      4.97      27.94     1.0293E-04 3.1839E+04       1.538    
   340.00    0.208     -9.343      4.97      28.09     1.0541E-04 3.2605E+04       1.625    
   350.00    0.258     -9.625      4.97      28.23     1.0785E-04 3.3361E+04       1.714    
   360.00    0.307     -9.908      4.97      28.37     1.1027E-04 3.4109E+04       1.805    
   370.00    0.357    -10.192      4.97      28.51     1.1266E-04 3.4848E+04       1.898    
   380.00    0.407    -10.478      4.97      28.64     1.1502E-04 3.5580E+04       1.992    
   390.00    0.456    -10.765      4.97      28.77     1.1736E-04 3.6303E+04       2.088    
   400.00    0.506    -11.053      4.97      28.90     1.1968E-04 3.7019E+04       2.187    
   410.00    0.556    -11.343      4.97      29.02     1.2197E-04 3.7728E+04       2.287    
   420.00    0.605    -11.634      4.97      29.14     1.2424E-04 3.8429E+04       2.388    
   430.00    0.655    -11.926      4.97      29.26     1.2648E-04 3.9124E+04       2.492    
   440.00    0.705    -12.219      4.97      29.37     1.2870E-04 3.9812E+04       2.597    
   450.00    0.754    -12.513      4.97      29.48     1.3091E-04 4.0493E+04       2.704    
   460.00    0.804    -12.809      4.97      29.59     1.3309E-04 4.1168E+04       2.812    
   470.00    0.854    -13.105      4.97      29.70     1.3525E-04 4.1837E+04       2.923    
   480.00    0.903    -13.403      4.97      29.80     1.3739E-04 4.2500E+04       3.034    
   490.00    0.953    -13.701      4.97      29.91     1.3952E-04 4.3157E+04       3.148    
   500.00    1.003    -14.001      4.97      30.01     1.4162E-04 4.3808E+04       3.263    
   510.00    1.052    -14.301      4.97      30.11     1.4371E-04 4.4454E+04       3.380    
