TITLE="Graphics"
VARIABLES= "x", "T_CH", "Y_h_CH","Y_h2_CH","Y_o_CH","Y_o2_CH","Y_oh_CH","Y_h2o_CH","Y_n2_CH","Y_ho2_CH","Y_h2o2_CH","Y_co_CH","Y_co2_CH","Y_ch2o_CH","Y_hco_CH","Y_ch3oh_CH","Y_ch2oh_CH","Y_ch3o_CH","Y_ch3o2_CH","Y_ch4_CH","Y_ch3_CH","Y_ch2_CH","Y_ch2(s)_CH","Y_c2h6_CH","Y_c2h5o2_CH","Y_c2h5_CH","Y_c2h4_CH","Y_c2h3_CH","Y_c2h2_CH","Y_ch2cho_CH","Y_ch2co_CH","Y_hcco_CH","Y_nc3h7_CH","Y_c3h6_CH","Y_c3h5-a_CH","Y_c3h5o_CH","Y_c3h4-a_CH","Y_nc3h7o2_CH","Y_c2h3cho_CH","Y_nc7h16_CH","Y_c7h15_CH","Y_c7h15o2_CH","Y_c7h14ooh_CH","Y_c7h14_CH","Y_c7h14ooho2_CH","Y_nc7ket_CH","Y_c7h14o_CH","Y_nc3h7cho_CH"
0.092,300.4238,2.700222E-14,0.001970777,1.097454E-12,0.2056429,1.440166E-13,6.574842E-5,0.7735985,1.158587E-7,1.385366E-7,1.345364E-5,6.540991E-7,1.018793E-7,9.133375E-19,9.98336E-9,4.024438E-21,1.067635E-12,7.6665E-9,1.239339E-6,9.461057E-16,1.991001E-20,2.552688E-30,2.933572E-8,2.011541E-11,9.655255E-18,2.034523E-6,8.852429E-21,2.052098E-7,1.096801E-9,2.265722E-9,2.276045E-19,1.781657E-21,4.743359E-8,9.044192E-12,5.537188E-12,5.575361E-10,7.220475E-14,8.052183E-11,0.01870411,3.863845E-16,9.259735E-11,5.387827E-20,6.602608E-12,1.602446E-15,2.516752E-14,3.075696E-13,6.972833E-12
0.095,300.6519,7.6747E-14,0.002220182,1.651829E-12,0.2055761,4.062692E-13,9.877978E-5,0.7733763,1.794875E-7,2.148756E-7,2.081068E-5,1.136306E-6,1.777594E-7,2.486956E-18,1.756772E-8,2.10636E-20,3.157102E-12,1.405083E-8,1.85958E-6,3.069115E-15,5.023433E-20,1.759674E-29,5.252937E-8,4.228457E-11,3.383795E-17,3.272521E-6,3.902332E-20,3.384417E-7,2.059292E-9,4.243144E-9,5.716532E-19,7.155939E-21,8.765536E-8,1.689007E-11,1.223007E-11,1.04946E-9,1.682045E-13,1.768658E-10,0.01870042,1.086574E-15,2.349734E-10,1.401774E-19,1.801592E-11,4.990079E-15,7.667685E-14,8.773306E-13,1.597016E-11
0.098,301.0131,2.227894E-13,0.002507364,2.503407E-12,0.2054916,1.173052E-12,1.498926E-4,0.7731105,2.811674E-7,3.36796E-7,3.253509E-5,1.99871E-6,3.140307E-7,7.48661E-18,3.130469E-8,1.143352E-19,9.310633E-12,2.609885E-8,2.818302E-6,1.023712E-14,1.294753E-19,1.461119E-28,9.5271E-8,9.060752E-11,1.22423E-16,5.323741E-6,1.823724E-19,5.647538E-7,3.917669E-9,8.051642E-9,1.478081E-18,2.939974E-20,1.641147E-7,3.197554E-11,2.730499E-11,2.001696E-9,3.994924E-13,3.939065E-10,0.01869617,3.140937E-15,6.026897E-10,3.739726E-19,4.978672E-11,1.606791E-14,2.363592E-13,2.533591E-12,3.7079E-11
0.1,301.3707,4.679081E-13,0.002722912,3.330772E-12,0.2054212,2.457378E-12,1.994812E-4,0.7729025,3.827939E-7,4.584042E-7,4.421237E-5,2.950848E-6,4.650197E-7,1.709613E-17,4.664382E-8,3.709705E-19,2.004252E-11,4.007181E-8,3.747661E-6,2.377285E-14,2.48936E-19,6.757655E-28,1.437498E-7,1.55145E-10,3.025569E-16,7.438613E-6,5.377733E-19,8.033314E-7,6.116133E-9,1.254694E-8,2.88061E-18,8.234763E-20,2.53302E-7,4.977704E-11,4.780636E-11,3.130834E-9,7.38226E-13,6.894482E-10,0.01869298,6.599634E-15,1.161382E-9,7.49147E-19,1.024098E-10,3.761091E-14,5.288832E-13,5.390213E-12,6.691614E-11
0.1020833,301.8901,1.028884E-12,0.002970412,4.513407E-12,0.2053316,5.388271E-12,2.702884E-4,0.7726531,5.318152E-7,6.362535E-7,6.12731E-5,4.472975E-6,7.071276E-7,4.399243E-17,7.140998E-8,1.298889E-18,4.439073E-11,6.341024E-8,5.07393E-6,5.874777E-14,5.005785E-19,3.57709E-27,2.231147E-7,2.778722E-10,7.990317E-16,1.062275E-5,1.707205E-18,1.169573E-6,9.851649E-9,2.016989E-8,5.972439E-18,2.453508E-19,4.029715E-7,7.998404E-11,8.713E-11,5.053466E-9,1.437988E-12,1.259031E-9,0.01868931,1.454901E-14,2.364756E-9,1.613406E-18,2.235613E-10,9.581132E-14,1.267767E-12,1.221577E-11,1.263761E-10
0.1041667,302.6181,2.291225E-12,0.003243602,6.15939E-12,0.20522,1.194887E-11,3.677872E-4,0.7723634,7.429161E-7,8.870823E-7,8.532305E-5,6.823292E-6,1.082033E-6,1.22976E-16,1.10034E-7,4.633131E-18,9.812106E-11,1.01114E-7,6.899455E-6,1.481089E-13,1.022668E-18,1.996101E-26,3.486472E-7,5.062522E-10,2.148044E-15,1.524972E-5,5.546791E-18,1.712332E-6,1.598629E-8,3.26634E-8,1.295389E-17,7.47619E-19,6.457039E-7,1.296178E-10,1.600404E-10,8.217787E-9,2.853832E-12,2.321432E-9,0.01868526,3.252851E-14,4.855716E-9,3.582269E-18,4.939463E-10,2.491056E-13,3.078274E-12,2.803009E-11,2.41092E-10
0.10625,303.6368,5.143068E-12,0.003544924,8.47682E-12,0.205079,2.664703E-11,5.018516E-4,0.7720239,1.04211E-6,1.240183E-6,1.191877E-4,1.044749E-5,1.661613E-6,3.68004E-16,1.701807E-7,1.668519E-17,2.162929E-10,1.620108E-7,9.409351E-6,3.794383E-13,2.122014E-18,1.157696E-25,5.469292E-7,9.368066E-10,5.82988E-15,2.196475E-5,1.831698E-17,2.515627E-6,2.604542E-8,5.310807E-8,2.982035E-17,2.334092E-18,1.038791E-6,2.112864E-10,2.947874E-10,1.341799E-8,5.756287E-12,4.299678E-9,0.01868079,7.34039E-14,9.950071E-9,8.182281E-18,1.096245E-9,6.534238E-13,7.505576E-12,6.459907E-11,4.620241E-10
0.1083333,305.0596,1.157701E-11,0.003876932,1.179173E-11,0.2048984,5.939034E-11,6.858384E-4,0.7716229,1.466453E-6,1.735982E-6,1.66799E-4,1.602553E-5,2.555538E-6,1.153677E-15,2.636506E-7,6.012672E-17,4.750244E-10,2.603325E-7,1.285481E-5,9.853201E-13,4.476484E-18,6.907675E-25,8.595222E-7,1.762411E-9,1.584783E-14,3.169297E-5,6.102986E-17,3.702363E-6,4.250462E-8,8.649327E-8,7.374068E-17,7.470272E-18,1.674086E-6,3.45998E-10,5.42733E-10,2.194643E-8,1.180922E-11,7.974542E-9,0.01867584,1.663505E-13,2.019703E-8,1.929671E-17,2.434379E-9,1.719436E-12,1.830139E-11,1.489324E-10,8.864867E-10
0.109375,305.9815,1.765486E-11,0.004055479,1.402356E-11,0.204788,8.995509E-11,8.033525E-4,0.7713934,1.745557E-6,2.058277E-6,1.978165E-4,1.99367E-5,3.183144E-6,2.105696E-15,3.297023E-7,1.165289E-16,7.187685E-10,3.32178E-7,1.505659E-5,1.629201E-12,6.598894E-18,1.768429E-24,1.083075E-6,2.47279E-9,2.675017E-14,3.818547E-5,1.140605E-16,4.507056E-6,5.464171E-8,1.110705E-7,1.217018E-16,1.398496E-17,2.137818E-6,4.465935E-10,7.439798E-10,2.824772E-8,1.74091E-11,1.098836E-8,0.01867317,2.546956E-13,2.904809E-8,3.05583E-17,3.713942E-9,2.905967E-12,2.949881E-11,2.32234E-10,1.24469E-9
0.1104167,307.0842,2.70266E-11,0.004242904,1.676628E-11,0.2046604,1.367209E-10,9.424425E-4,0.7711409,2.083187E-6,2.444615E-6,2.350648E-4,2.489152E-5,3.978851E-6,3.894454E-15,4.138529E-7,2.276649E-16,1.08996E-9,4.260159E-7,1.766416E-5,2.730635E-12,9.825023E-18,4.627532E-24,1.370437E-6,3.519513E-9,4.556057E-14,4.61188E-5,2.150253E-16,5.501749E-6,7.060062E-8,1.433467E-7,2.066772E-16,2.658201E-17,2.743011E-6,5.80265E-10,1.027939E-9,3.654582E-8,2.612658E-11,1.528311E-8,0.01867034,3.921251E-13,4.238318E-8,4.998012E-17,5.768572E-9,5.064501E-12,4.868309E-11,3.694828E-10,1.766381E-9
