Distance_Soln#6 (cm),Pressure_Soln#6_Run#1 (atm),Mass_density_Soln#6_Run#1 (g/cm3),Axial_velocity_Soln#6_Run#1 (cm/sec),Cross-section_area_Soln#6_Run#1 (cm2),Net_heat_production_from_gas-phase_reactions_Soln#6_Run#1 (erg/cm3-sec),EICO_Soln#6_Run#1 (g-CO/kg-fuel),Unburned_fuel_fraction_Soln#6_Run#1 (),Temperature_Soln#6_Run#1 (K),Mass_fraction_h_Soln#6_Run#1 (),Mass_fraction_h2_Soln#6_Run#1 (),Mass_fraction_o_Soln#6_Run#1 (),Mass_fraction_o2_Soln#6_Run#1 (),Mass_fraction_oh_Soln#6_Run#1 (),Mass_fraction_h2o_Soln#6_Run#1 (),Mass_fraction_n2_Soln#6_Run#1 (),Mass_fraction_ho2_Soln#6_Run#1 (),Mass_fraction_h2o2_Soln#6_Run#1 (),Mass_fraction_co_Soln#6_Run#1 (),Mass_fraction_co2_Soln#6_Run#1 (),Mass_fraction_ch2o_Soln#6_Run#1 (),Mass_fraction_hco_Soln#6_Run#1 (),Mass_fraction_ch3oh_Soln#6_Run#1 (),Mass_fraction_ch2oh_Soln#6_Run#1 (),Mass_fraction_ch3o_Soln#6_Run#1 (),Mass_fraction_ch3o2_Soln#6_Run#1 (),Mass_fraction_ch4_Soln#6_Run#1 (),Mass_fraction_ch3_Soln#6_Run#1 (),Mass_fraction_ch2_Soln#6_Run#1 (),Mass_fraction_ch2(s)_Soln#6_Run#1 (),Mass_fraction_c2h6_Soln#6_Run#1 (),Mass_fraction_c2h5o2_Soln#6_Run#1 (),Mass_fraction_c2h5_Soln#6_Run#1 (),Mass_fraction_c2h4_Soln#6_Run#1 (),Mass_fraction_c2h3_Soln#6_Run#1 (),Mass_fraction_c2h2_Soln#6_Run#1 (),Mass_fraction_ch2cho_Soln#6_Run#1 (),Mass_fraction_ch2co_Soln#6_Run#1 (),Mass_fraction_hcco_Soln#6_Run#1 (),Mass_fraction_nc3h7_Soln#6_Run#1 (),Mass_fraction_c3h6_Soln#6_Run#1 (),Mass_fraction_c3h5-a_Soln#6_Run#1 (),Mass_fraction_c3h5o_Soln#6_Run#1 (),Mass_fraction_c3h4-a_Soln#6_Run#1 (),Mass_fraction_nc3h7o2_Soln#6_Run#1 (),Mass_fraction_c2h3cho_Soln#6_Run#1 (),Mass_fraction_nc7h16_Soln#6_Run#1 (),Mass_fraction_c7h15_Soln#6_Run#1 (),Mass_fraction_c7h15o2_Soln#6_Run#1 (),Mass_fraction_c7h14ooh_Soln#6_Run#1 (),Mass_fraction_c7h14_Soln#6_Run#1 (),Mass_fraction_c7h14ooho2_Soln#6_Run#1 (),Mass_fraction_nc7ket_Soln#6_Run#1 (),Mass_fraction_c7h14o_Soln#6_Run#1 (),Mass_fraction_nc3h7cho_Soln#6_Run#1 (),Flow_rate_Soln#6_Run#1 (g/cm2-sec),Molecular_weight_Soln#6_Run#1 (g/mole)
0.071,1.0,0.001225408,39.54267,1.0,0.06740818,0.0,1.0,300.0114,1.291606E-19,4.730094E-5,2.953952E-14,0.2184262,6.692282E-17,1.3102E-6,0.719334,3.329052E-9,3.901543E-9,3.227414E-7,8.579813E-9,8.650833E-10,6.642276E-22,8.368481E-11,1.655999E-26,1.981243E-16,6.519818E-11,2.215011E-8,2.311509E-20,6.248341E-24,-2.201995E-32,1.948367E-10,6.81415E-14,4.402237E-22,3.436577E-8,7.043127E-25,2.552478E-9,6.612509E-12,1.373421E-11,2.232003E-22,2.375805E-26,3.269948E-10,5.921231E-14,9.673815E-15,3.069651E-12,1.015702E-16,1.273041E-13,0.0621908,1.837085E-18,3.634621E-13,2.019746E-22,1.595072E-15,2.446807E-18,2.338423E-18,5.058071E-17,9.091216E-15,0.0484559,30.16731
0.074,1.0,0.00122528,39.54679,1.0,0.1463428,0.0,1.0,300.0174,3.557603E-19,5.335937E-5,4.39259E-14,0.218425,1.148562E-16,1.951004E-6,0.7193275,5.097615E-9,5.989178E-9,4.939602E-7,1.465558E-8,1.483994E-9,1.574927E-21,1.447052E-10,5.146654E-26,5.9155E-16,1.170672E-10,3.293922E-8,6.987034E-20,1.517745E-23,-6.246168E-33,3.424911E-10,1.379008E-13,1.271187E-21,5.457946E-8,1.569497E-24,4.150856E-9,1.215929E-11,2.519353E-11,5.399622E-22,9.129063E-26,5.922636E-10,1.082518E-13,2.086335E-14,5.657992E-12,2.267758E-16,2.718085E-13,0.06219157,2.967992E-18,5.918755E-13,3.291436E-22,4.203683E-15,3.727473E-18,6.866639E-18,1.392199E-16,2.021682E-14,0.0484559,30.16477
0.077,1.0,0.001225123,39.55188,1.0,0.3355283,0.0,1.0,300.0269,1.014237E-18,6.033817E-5,6.568969E-14,0.2184234,2.159928E-16,2.942395E-6,0.7193198,7.915813E-9,9.324439E-9,7.666497E-7,2.551406E-8,2.595017E-9,3.819333E-21,2.551587E-10,1.792476E-25,1.755149E-15,2.147079E-10,4.960751E-8,2.207699E-19,3.773134E-23,3.467994E-32,6.143764E-10,2.864772E-13,3.842496E-21,8.805201E-8,3.68019E-24,6.86425E-9,2.28611E-11,4.724781E-11,1.335811E-21,3.498294E-25,1.096128E-9,2.023043E-13,4.610377E-14,1.066428E-11,5.21495E-16,5.969611E-13,0.06219248,5.119456E-18,1.062711E-12,5.91643E-22,1.145648E-14,6.367728E-18,2.088707E-17,3.965766E-16,4.629292E-14,0.0484559,30.16184
0.08,1.0,0.001224924,39.55829,1.0,0.800968,0.0,1.0,300.0419,2.95203E-18,6.837723E-5,9.858757E-14,0.2184214,4.533009E-16,4.476161E-6,0.7193107,1.24067E-8,1.465282E-8,1.200942E-6,4.49198E-8,4.589407E-9,9.401211E-21,4.550886E-10,7.056004E-25,5.200245E-15,3.985129E-10,7.535854E-8,7.165244E-19,9.519558E-23,-3.178812E-32,1.115008E-9,6.030176E-13,1.202179E-20,1.434798E-7,9.186044E-24,1.147043E-8,4.350843E-11,8.969201E-11,3.351301E-21,1.342904E-24,2.053177E-9,3.82685E-13,1.030046E-13,2.034711E-11,1.215436E-15,1.328604E-12,0.06219353,9.671446E-18,2.104129E-12,1.17348E-21,3.162093E-14,1.227849E-17,6.429583E-17,1.143762E-15,1.074082E-13,0.0484559,30.15847
0.083,1.0,0.001224668,39.56655,1.0,1.967221,0.0,1.0,300.0658,8.69584E-18,7.763764E-5,1.483024E-13,0.2184187,1.062153E-15,6.848972E-6,0.7192997,1.956333E-8,2.316507E-8,1.892595E-6,7.959983E-8,8.169405E-9,2.338227E-20,8.169665E-10,3.122393E-24,1.540044E-14,7.445219E-10,1.15141E-7,2.363867E-18,2.424634E-22,-1.101282E-32,2.036814E-9,1.277733E-12,3.869051E-20,2.352616E-7,2.519258E-23,1.928957E-8,8.334257E-11,1.713745E-10,8.481578E-21,5.173024E-24,3.870954E-9,7.286265E-13,2.312372E-13,3.907438E-11,2.850171E-15,2.974865E-12,0.06219477,2.040407E-17,4.524833E-12,2.530386E-21,8.767973E-14,2.632341E-17,1.986858E-16,3.312948E-15,2.506391E-13,0.0484559,30.15456
0.086,1.0,0.001224331,39.57746,1.0,4.924712,0.0,1.0,300.1036,2.570575E-17,8.830493E-5,2.234447E-13,0.2184148,2.717385E-15,1.051967E-5,0.7192863,3.096856E-8,3.676268E-8,2.994088E-6,1.415737E-7,1.459526E-8,5.863716E-20,1.471941E-9,1.513549E-23,4.559325E-14,1.395884E-9,1.765988E-7,7.869229E-18,6.21284E-22,-4.723741E-32,3.734042E-9,2.717029E-12,1.274243E-19,3.872352E-7,7.866163E-23,3.256227E-8,1.601887E-10,3.285611E-10,2.156547E-20,2.002818E-23,7.323381E-9,1.392071E-12,5.201521E-13,7.529233E-11,6.704138E-15,6.678864E-12,0.06219624,4.795216E-17,1.029901E-11,5.783961E-21,2.435149E-13,6.108494E-17,6.147077E-16,9.609857E-15,5.862939E-13,0.0484559,30.15005
0.0875,1.0,0.001224118,39.58435,1.0,7.935215,0.0,1.0,300.1307,4.54601E-17,9.424625E-5,2.754574E-13,0.2184123,4.568362E-15,1.310783E-5,0.7192784,3.921085E-8,4.660701E-8,3.789567E-6,1.90849E-7,1.972345E-8,9.420785E-20,1.998335E-9,3.55334E-23,8.286924E-14,1.937148E-9,2.198831E-7,1.480721E-17,1.008605E-21,2.942298E-33,5.117988E-9,4.049785E-12,2.405068E-19,5.005926E-7,1.51605E-22,4.266965E-8,2.253844E-10,4.616346E-10,3.488388E-20,4.33412E-23,1.02137E-8,1.952133E-12,8.003146E-13,1.060848E-10,1.059751E-14,1.026687E-11,0.06219708,7.789505E-17,1.62056E-11,9.128768E-21,4.254363E-13,9.866407E-17,1.149635E-15,1.725138E-14,9.232064E-13,0.0484559,30.14753
0.089,1.0,0.001223864,39.59256,1.0,12.94361,0.0,1.0,300.1658,8.12725E-17,1.006388E-4,3.404314E-13,0.2184092,7.866726E-15,1.640358E-5,0.7192695,4.99002E-8,5.939064E-8,4.820669E-6,2.595097E-7,2.688931E-8,1.530541E-19,2.737841E-9,8.640031E-23,1.509424E-13,2.717243E-9,2.749562E-7,2.845845E-17,1.653706E-21,1.170183E-33,7.083879E-9,6.139493E-12,4.664795E-19,6.511108E-7,3.085906E-22,5.630087E-8,3.208597E-10,6.561958E-10,5.693701E-20,9.48318E-23,1.440326E-8,2.769179E-12,1.254229E-12,1.512533E-10,1.7139E-14,1.609847E-11,0.06219801,1.305192E-16,2.658794E-11,1.50358E-20,7.692214E-13,1.698814E-16,2.24496E-15,3.216195E-14,1.486379E-12,0.0484559,30.1448
0.0905,1.0,0.001223559,39.60241,1.0,21.33652,0.0,1.0,300.2112,1.469548E-16,1.075166E-4,4.215932E-13,0.2184054,1.383811E-14,2.060021E-5,0.7192595,6.376345E-8,7.599017E-8,6.157143E-6,3.551776E-7,3.690194E-8,2.512272E-19,3.776686E-9,2.163792E-22,2.751556E-13,3.841545E-9,3.450263E-7,5.558217E-17,2.733329E-21,8.707677E-32,9.87629E-9,9.417785E-12,9.25479E-19,8.509637E-7,6.594681E-22,7.468368E-8,4.606699E-10,9.406404E-10,9.364245E-20,2.087581E-22,2.047579E-8,3.961099E-12,1.989225E-12,2.175061E-10,2.81353E-14,2.557639E-11,0.06219903,2.248524E-16,4.495075E-11,2.554818E-20,1.418839E-12,3.078795E-16,4.487576E-15,6.125399E-14,2.427698E-12,0.0484559,30.14186
0.092,1.0,0.001223192,39.61432,1.0,35.47864,0.0,1.0,300.2697,2.680215E-16,1.149165E-4,5.229955E-13,0.2184006,2.474564E-14,2.594363E-5,0.7192481,8.174354E-8,9.754289E-8,7.889345E-6,4.884679E-7,5.089125E-8,4.166218E-19,5.235939E-9,5.541566E-22,5.016963E-13,5.461918E-9,4.341733E-7,1.098242E-16,4.547063E-21,2.894933E-31,1.384247E-8,1.456428E-11,1.869727E-18,1.116307E-6,1.467265E-21,9.947296E-8,6.653877E-10,1.356463E-9,1.549656E-19,4.616548E-22,2.927698E-8,5.699853E-12,3.178847E-12,3.146784E-10,4.663278E-14,4.097967E-11,0.06220017,3.960263E-16,7.753395E-11,4.435297E-20,2.646237E-12,5.800734E-16,9.078712E-15,1.180097E-13,4.000938E-12,0.0484559,30.13867
