Distance_Soln#6 (cm),Pressure_Soln#6_Run#1 (atm),Mass_density_Soln#6_Run#1 (g/cm3),Axial_velocity_Soln#6_Run#1 (cm/sec),Cross-section_area_Soln#6_Run#1 (cm2),Net_heat_production_from_gas-phase_reactions_Soln#6_Run#1 (erg/cm3-sec),EICO_Soln#6_Run#1 (g-CO/kg-fuel),Unburned_fuel_fraction_Soln#6_Run#1 (),Temperature_Soln#6_Run#1 (K),Mass_fraction_h_Soln#6_Run#1 (),Mass_fraction_h2_Soln#6_Run#1 (),Mass_fraction_o_Soln#6_Run#1 (),Mass_fraction_o2_Soln#6_Run#1 (),Mass_fraction_oh_Soln#6_Run#1 (),Mass_fraction_h2o_Soln#6_Run#1 (),Mass_fraction_n2_Soln#6_Run#1 (),Mass_fraction_ho2_Soln#6_Run#1 (),Mass_fraction_h2o2_Soln#6_Run#1 (),Mass_fraction_co_Soln#6_Run#1 (),Mass_fraction_co2_Soln#6_Run#1 (),Mass_fraction_ch2o_Soln#6_Run#1 (),Mass_fraction_hco_Soln#6_Run#1 (),Mass_fraction_ch3oh_Soln#6_Run#1 (),Mass_fraction_ch2oh_Soln#6_Run#1 (),Mass_fraction_ch3o_Soln#6_Run#1 (),Mass_fraction_ch3o2_Soln#6_Run#1 (),Mass_fraction_ch4_Soln#6_Run#1 (),Mass_fraction_ch3_Soln#6_Run#1 (),Mass_fraction_ch2_Soln#6_Run#1 (),Mass_fraction_ch2(s)_Soln#6_Run#1 (),Mass_fraction_c2h6_Soln#6_Run#1 (),Mass_fraction_c2h5o2_Soln#6_Run#1 (),Mass_fraction_c2h5_Soln#6_Run#1 (),Mass_fraction_c2h4_Soln#6_Run#1 (),Mass_fraction_c2h3_Soln#6_Run#1 (),Mass_fraction_c2h2_Soln#6_Run#1 (),Mass_fraction_ch2cho_Soln#6_Run#1 (),Mass_fraction_ch2co_Soln#6_Run#1 (),Mass_fraction_hcco_Soln#6_Run#1 (),Mass_fraction_nc3h7_Soln#6_Run#1 (),Mass_fraction_c3h6_Soln#6_Run#1 (),Mass_fraction_c3h5-a_Soln#6_Run#1 (),Mass_fraction_c3h5o_Soln#6_Run#1 (),Mass_fraction_c3h4-a_Soln#6_Run#1 (),Mass_fraction_nc3h7o2_Soln#6_Run#1 (),Mass_fraction_c2h3cho_Soln#6_Run#1 (),Mass_fraction_nc7h16_Soln#6_Run#1 (),Mass_fraction_c7h15_Soln#6_Run#1 (),Mass_fraction_c7h15o2_Soln#6_Run#1 (),Mass_fraction_c7h14ooh_Soln#6_Run#1 (),Mass_fraction_c7h14_Soln#6_Run#1 (),Mass_fraction_c7h14ooho2_Soln#6_Run#1 (),Mass_fraction_nc7ket_Soln#6_Run#1 (),Mass_fraction_c7h14o_Soln#6_Run#1 (),Mass_fraction_nc3h7cho_Soln#6_Run#1 (),Flow_rate_Soln#6_Run#1 (g/cm2-sec),Molecular_weight_Soln#6_Run#1 (g/mole)
0.1324219,1.0,6.981313E-4,69.40801,1.0,8.242675E7,74.22096,0.9840469,517.3095,1.377731E-8,6.920345E-4,7.346353E-9,0.198966,3.299124E-7,0.01325334,0.7097246,1.30282E-4,7.363026E-5,0.00751016,0.003578601,3.384395E-4,1.623408E-9,4.610309E-5,1.480988E-10,2.96142E-6,1.272296E-4,2.402429E-4,2.233892E-7,9.16166E-13,2.646841E-14,1.797548E-4,6.26795E-5,1.884038E-9,0.002016032,6.610695E-10,2.795097E-4,2.04718E-5,3.964657E-5,3.159709E-10,3.617374E-10,6.812287E-4,1.269471E-6,2.455217E-7,1.043575E-5,2.062721E-6,3.089209E-5,0.06119285,3.158218E-8,4.255271E-4,1.65453E-8,3.027817E-4,5.567971E-6,1.680196E-5,4.0458E-5,7.525801E-6,0.0484559,29.63505
0.1324544,1.0,6.969098E-4,69.52967,1.0,8.329253E7,73.35434,0.9838062,518.193,1.396655E-8,6.928196E-4,7.459299E-9,0.1988822,3.333908E-7,0.01330075,0.7096933,1.310463E-4,7.386865E-5,0.00754244,0.003598247,3.400615E-4,1.652498E-9,4.635443E-5,1.50322E-10,2.987106E-6,1.279763E-4,2.411807E-4,2.274554E-7,9.38774E-13,2.739898E-14,1.808103E-4,6.338743E-5,1.920163E-9,0.002025278,6.758152E-10,2.808663E-4,2.060172E-5,3.989538E-5,3.225723E-10,3.710803E-10,6.854519E-4,1.286466E-6,2.432255E-7,1.050276E-5,2.088685E-6,3.114193E-5,0.06117788,3.210663E-8,4.290731E-4,1.704138E-8,3.063963E-4,5.626825E-6,1.70325E-5,4.09712E-5,7.593859E-6,0.0484559,29.63372
0.132487,1.0,6.95689E-4,69.65168,1.0,8.416914E7,72.50233,0.983563,519.0789,1.415822E-8,6.936049E-4,7.574063E-9,0.1987982,3.369098E-7,0.01334825,0.7096619,1.318147E-4,7.410722E-5,0.007574821,0.003617976,3.416882E-4,1.682104E-9,4.660681E-5,1.52577E-10,3.012978E-6,1.287257E-4,2.42121E-4,2.316071E-7,9.619543E-13,2.836361E-14,1.818708E-4,6.410203E-5,1.957064E-9,0.002034555,6.90868E-10,2.822277E-4,2.07323E-5,4.014543E-5,3.293184E-10,3.806614E-10,6.896959E-4,1.303686E-6,2.409229E-7,1.057011E-5,2.114917E-6,3.139331E-5,0.06116275,3.264108E-8,4.3264E-4,1.755161E-8,3.10049E-4,5.685827E-6,1.72658E-5,4.149019E-5,7.662441E-6,0.0484559,29.63238
0.1325195,1.0,6.94469E-4,69.77403,1.0,8.505678E7,71.66458,0.9833172,519.9673,1.435236E-8,6.943902E-4,7.690672E-9,0.198714,3.404699E-7,0.01339586,0.7096305,1.325871E-4,7.434598E-5,0.007607304,0.003637789,3.433196E-4,1.712234E-9,4.686021E-5,1.548643E-10,3.039039E-6,1.29478E-4,2.430639E-4,2.358464E-7,9.857218E-13,2.936362E-14,1.829361E-4,6.482334E-5,1.994759E-9,0.002043864,7.062339E-10,2.835941E-4,2.086356E-5,4.039672E-5,3.362125E-10,3.904868E-10,6.939607E-4,1.321133E-6,2.386149E-7,1.063781E-5,2.14142E-6,3.164623E-5,0.06114747,3.318576E-8,4.362279E-4,1.807637E-8,3.137401E-4,5.744964E-6,1.750187E-5,4.201501E-5,7.731551E-6,0.0484559,29.63105
0.1325521,1.0,6.932499E-4,69.89673,1.0,8.595563E7,70.84076,0.983069,520.858,1.454901E-8,6.951757E-4,7.80916E-9,0.1986295,3.440719E-7,0.01344357,0.709599,1.333636E-4,7.458491E-5,0.007639888,0.003657685,3.449558E-4,1.742898E-9,4.711465E-5,1.571844E-10,3.065289E-6,1.302331E-4,2.440093E-4,2.401756E-7,1.010092E-12,3.040039E-14,1.840063E-4,6.555141E-5,2.033268E-9,0.002053203,7.219191E-10,2.849653E-4,2.099548E-5,4.064925E-5,3.432582E-10,4.005625E-10,6.982463E-4,1.338811E-6,2.363024E-7,1.070585E-5,2.168196E-6,3.190069E-5,0.06113203,3.374093E-8,4.398367E-4,1.861605E-8,3.1747E-4,5.804224E-6,1.774075E-5,4.254573E-5,7.801191E-6,0.0484559,29.6297
0.1325846,1.0,6.920317E-4,70.01978,1.0,8.686588E7,70.03053,0.9828182,521.7513,1.474819E-8,6.959612E-4,7.929556E-9,0.1985447,3.477163E-7,0.01349138,0.7095675,1.341443E-4,7.482401E-5,0.007672574,0.003677665,3.465967E-4,1.774106E-9,4.737012E-5,1.595377E-10,3.091729E-6,1.30991E-4,2.449573E-4,2.445969E-7,1.035081E-12,3.147535E-14,1.850814E-4,6.628629E-5,2.072611E-9,0.002062573,7.379298E-10,2.863414E-4,2.112808E-5,4.090302E-5,3.504591E-10,4.108949E-10,7.025529E-4,1.356722E-6,2.339862E-7,1.077424E-5,2.195246E-6,3.21567E-5,0.06111644,3.430687E-8,4.434665E-4,1.917104E-8,3.21239E-4,5.863595E-6,1.798247E-5,4.30824E-5,7.871364E-6,0.0484559,29.62836
0.1326172,1.0,6.908143E-4,70.14317,1.0,8.778773E7,69.23359,0.9825648,522.6469,1.494993E-8,6.967469E-4,8.051894E-9,0.1984597,3.514038E-7,0.01353929,0.709536,1.34929E-4,7.506327E-5,0.007705362,0.003697729,3.482423E-4,1.805867E-9,4.762663E-5,1.619248E-10,3.118361E-6,1.317516E-4,2.459078E-4,2.491127E-7,1.060704E-12,3.258999E-14,1.861614E-4,6.702802E-5,2.112809E-9,0.002071974,7.542724E-10,2.877225E-4,2.126134E-5,4.115805E-5,3.578189E-10,4.214905E-10,7.068805E-4,1.374869E-6,2.316673E-7,1.084298E-5,2.222572E-6,3.241427E-5,0.06110068,3.488386E-8,4.471172E-4,1.974174E-8,3.250476E-4,5.923063E-6,1.822703E-5,4.362508E-5,7.942074E-6,0.0484559,29.62701
0.1326497,1.0,6.895977E-4,70.26691,1.0,8.872138E7,68.44962,0.9823089,523.5451,1.515426E-8,6.975327E-4,8.176205E-9,0.1983745,3.551351E-7,0.0135873,0.7095044,1.35718E-4,7.530271E-5,0.007738252,0.003717877,3.498926E-4,1.838192E-9,4.788418E-5,1.643461E-10,3.145185E-6,1.32515E-4,2.468609E-4,2.537253E-7,1.086978E-12,3.374587E-14,1.872464E-4,6.777664E-5,2.153884E-9,0.002081407,7.709534E-10,2.891084E-4,2.139529E-5,4.141432E-5,3.653413E-10,4.323559E-10,7.112291E-4,1.393255E-6,2.293465E-7,1.091207E-5,2.250176E-6,3.267339E-5,0.06108477,3.547217E-8,4.507889E-4,2.032858E-8,3.288959E-4,5.982614E-6,1.847448E-5,4.417382E-5,8.013324E-6,0.0484559,29.62566
0.1326823,1.0,6.883821E-4,70.391,1.0,8.966704E7,67.67834,0.9820504,524.4456,1.536123E-8,6.983186E-4,8.302523E-9,0.198289,3.589109E-7,0.01363542,0.7094728,1.365111E-4,7.55423E-5,0.007771245,0.003738109,3.515477E-4,1.871091E-9,4.814277E-5,1.668023E-10,3.172203E-6,1.332812E-4,2.478166E-4,2.584373E-7,1.113921E-12,3.494461E-14,1.883363E-4,6.853221E-5,2.195857E-9,0.002090871,7.879796E-10,2.904993E-4,2.152992E-5,4.167186E-5,3.730302E-10,4.43498E-10,7.155988E-4,1.411884E-6,2.270247E-7,1.098151E-5,2.27806E-6,3.293407E-5,0.06106869,3.607212E-8,4.544815E-4,2.093197E-8,3.327844E-4,6.042235E-6,1.872483E-5,4.472868E-5,8.085117E-6,0.0484559,29.6243
0.1327148,1.0,6.871673E-4,70.51544,1.0,9.062491E7,66.91945,0.9817892,525.3486,1.557085E-8,6.991045E-4,8.430881E-9,0.1982032,3.627319E-7,0.01368364,0.7094412,1.373083E-4,7.578206E-5,0.007804339,0.003758426,3.532074E-4,1.904575E-9,4.84024E-5,1.692938E-10,3.199415E-6,1.340501E-4,2.487748E-4,2.632511E-7,1.14155E-12,3.618789E-14,1.894312E-4,6.929476E-5,2.238751E-9,0.002100366,8.053576E-10,2.918951E-4,2.166523E-5,4.193065E-5,3.808897E-10,4.549236E-10,7.199897E-4,1.430758E-6,2.247028E-7,1.10513E-5,2.306225E-6,3.319631E-5,0.06105245,3.6684E-8,4.581951E-4,2.155236E-8,3.367134E-4,6.101911E-6,1.897811E-5,4.528972E-5,8.157456E-6,0.0484559,29.62294
0.1327474,1.0,6.859534E-4,70.64022,1.0,9.159522E7,66.17267,0.9815254,526.2541,1.578317E-8,6.998906E-4,8.561314E-9,0.1981172,3.665988E-7,0.01373196,0.7094095,1.381098E-4,7.602196E-5,0.007837536,0.003778828,3.548719E-4,1.938655E-9,4.866308E-5,1.718212E-10,3.226822E-6,1.348217E-4,2.497356E-4,2.681693E-7,1.169884E-12,3.747747E-14,1.905311E-4,7.006435E-5,2.282589E-9,0.002109892,8.230945E-10,2.932959E-4,2.180122E-5,4.219071E-5,3.889238E-10,4.6664E-10,7.244018E-4,1.44988E-6,2.223817E-7,1.112144E-5,2.334674E-6,3.346012E-5,0.06103605,3.730815E-8,4.619296E-4,2.219019E-8,3.406833E-4,6.161628E-6,1.923434E-5,4.5857E-5,8.230345E-6,0.0484559,29.62158
0.1327799,1.0,6.847405E-4,70.76536,1.0,9.257817E7,65.43774,0.9812589,527.162,1.599822E-8,7.006768E-4,8.693857E-9,0.1980309,3.705123E-7,0.01378038,0.7093778,1.389156E-4,7.626202E-5,0.007870835,0.003799314,3.565411E-4,1.973342E-9,4.89248E-5,1.74385E-10,3.254426E-6,1.355961E-4,2.50699E-4,2.731946E-7,1.19894E-12,3.881517E-14,1.91636E-4,7.084102E-5,2.327397E-9,0.002119449,8.411975E-10,2.947016E-4,2.19379E-5,4.245204E-5,3.971367E-10,4.786545E-10,7.288352E-4,1.469255E-6,2.200621E-7,1.119193E-5,2.363409E-6,3.37255E-5,0.06101947,3.79449E-8,4.65685E-4,2.284591E-8,3.446944E-4,6.221371E-6,1.949356E-5,4.643057E-5,8.303787E-6,0.0484559,29.62021
0.1328125,1.0,6.835285E-4,70.89084,1.0,9.357399E7,64.71439,0.9809897,528.0723,1.621603E-8,7.014631E-4,8.828545E-9,0.1979444,3.744733E-7,0.0138289,0.7093461,1.397255E-4,7.650222E-5,0.007904237,0.003819886,3.582149E-4,2.008647E-9,4.918758E-5,1.769858E-10,3.282228E-6,1.363732E-4,2.516649E-4,2.783298E-7,1.228738E-12,4.02029E-14,1.927459E-4,7.162483E-5,2.373198E-9,0.002129038,8.596739E-10,2.961123E-4,2.207527E-5,4.271463E-5,4.055327E-10,4.909747E-10,7.3329E-4,1.488884E-6,2.177449E-7,1.126278E-5,2.39243E-6,3.399245E-5,0.06100274,3.859459E-8,4.694614E-4,2.351999E-8,3.487471E-4,6.281125E-6,1.975577E-5,4.70105E-5,8.377785E-6,0.0484559,29.61884
0.1328451,1.0,6.823174E-4,71.01666,1.0,9.45829E7,64.00237,0.9807179,528.9851,1.643664E-8,7.022494E-4,8.965415E-9,0.1978576,3.784825E-7,0.01387753,0.7093143,1.405397E-4,7.674257E-5,0.007937742,0.003840543,3.598935E-4,2.044581E-9,4.94514E-5,1.796242E-10,3.310229E-6,1.37153E-4,2.526334E-4,2.835776E-7,1.259298E-12,4.164265E-14,1.938608E-4,7.24158E-5,2.420019E-9,0.002138659,8.785311E-10,2.975279E-4,2.221333E-5,4.297851E-5,4.141162E-10,5.036083E-10,7.377663E-4,1.508771E-6,2.15431E-7,1.133398E-5,2.421741E-6,3.426098E-5,0.06098583,3.925758E-8,4.732586E-4,2.421292E-8,3.528417E-4,6.340874E-6,2.002102E-5,4.759684E-5,8.452342E-6,0.0484559,29.61747
0.1328776,1.0,6.811072E-4,71.14284,1.0,9.560514E7,63.30142,0.9804432,529.9004,1.666008E-8,7.030359E-4,9.104504E-9,0.1977706,3.825405E-7,0.01392625,0.7092825,1.413582E-4,7.698305E-5,0.00797135,0.003861285,3.615767E-4,2.081158E-9,4.971629E-5,1.823007E-10,3.338429E-6,1.379356E-4,2.536044E-4,2.889409E-7,1.29064E-12,4.313648E-14,1.949808E-4,7.3214E-5,2.467886E-9,0.00214831,8.977769E-10,2.989485E-4,2.235208E-5,4.324367E-5,4.228918E-10,5.165631E-10,7.42264E-4,1.528919E-6,2.131212E-7,1.140554E-5,2.451342E-6,3.45311E-5,0.06096875,3.993425E-8,4.770767E-4,2.492517E-8,3.569786E-4,6.400603E-6,2.028932E-5,4.818966E-5,8.527462E-6,0.0484559,29.6161
0.1329102,1.0,6.798981E-4,71.26937,1.0,9.664093E7,62.61132,0.9801659,530.8181,1.688639E-8,7.038225E-4,9.245848E-9,0.1976833,3.866484E-7,0.01397508,0.7092507,1.421811E-4,7.722367E-5,0.00800506,0.003882113,3.632646E-4,2.118389E-9,4.998222E-5,1.85016E-10,3.36683E-6,1.387208E-4,2.545781E-4,2.944228E-7,1.322784E-12,4.468654E-14,1.961058E-4,7.401946E-5,2.516827E-9,0.002157994,9.17419E-10,3.003741E-4,2.249153E-5,4.35101E-5,4.318641E-10,5.298474E-10,7.467833E-4,1.549332E-6,2.108164E-7,1.147746E-5,2.481236E-6,3.48028E-5,0.06095151,4.062498E-8,4.809157E-4,2.565725E-8,3.611582E-4,6.460295E-6,2.056069E-5,4.878901E-5,8.603148E-6,0.0484559,29.61472
0.1329427,1.0,6.786899E-4,71.39624,1.0,9.769052E7,61.93182,0.9798858,531.7382,1.71156E-8,7.046091E-4,9.389487E-9,0.1975958,3.908067E-7,0.01402401,0.7092188,1.430082E-4,7.746442E-5,0.008038874,0.003903027,3.649571E-4,2.156286E-9,5.024921E-5,1.877707E-10,3.395432E-6,1.395087E-4,2.555543E-4,3.000262E-7,1.355752E-12,4.629509E-14,1.972359E-4,7.483224E-5,2.56687E-9,0.002167708,9.374654E-10,3.018047E-4,2.263168E-5,4.377783E-5,4.410378E-10,5.434695E-10,7.513242E-4,1.570013E-6,2.085172E-7,1.154974E-5,2.511424E-6,3.507609E-5,0.06093409,4.133019E-8,4.847755E-4,2.640967E-8,3.653809E-4,6.519934E-6,2.083517E-5,4.939496E-5,8.679404E-6,0.0484559,29.61333
0.1329753,1.0,6.774826E-4,71.52346,1.0,9.875415E7,61.2627,0.9796028,532.6608,1.734775E-8,7.053959E-4,9.535458E-9,0.197508,3.950165E-7,0.01407304,0.709187,1.438396E-4,7.77053E-5,0.008072791,0.003924027,3.666543E-4,2.194862E-9,5.051727E-5,1.905653E-10,3.424238E-6,1.402993E-4,2.565331E-4,3.057542E-7,1.389567E-12,4.796445E-14,1.98371E-4,7.565239E-5,2.618045E-9,0.002177455,9.579245E-10,3.032402E-4,2.277254E-5,4.404685E-5,4.504179E-10,5.57438E-10,7.558869E-4,1.590966E-6,2.062246E-7,1.162238E-5,2.541908E-6,3.535097E-5,0.06091649,4.205029E-8,4.886561E-4,2.718296E-8,3.69647E-4,6.579503E-6,2.111277E-5,5.000756E-5,8.756232E-6,0.0484559,29.61195
0.1330078,1.0,6.762764E-4,71.65104,1.0,9.983206E7,60.60373,0.9793171,533.5858,1.758288E-8,7.061827E-4,9.683802E-9,0.19742,3.992785E-7,0.01412217,0.709155,1.446755E-4,7.79463E-5,0.008106811,0.003945113,3.683562E-4,2.234132E-9,5.078638E-5,1.934006E-10,3.453247E-6,1.410925E-4,2.575145E-4,3.116101E-7,1.42425E-12,4.969706E-14,1.995112E-4,7.647994E-5,2.670381E-9,0.002187232,9.788046E-10,3.046808E-4,2.29141E-5,4.431716E-5,4.600093E-10,5.717616E-10,7.604712E-4,1.612193E-6,2.039392E-7,1.169537E-5,2.57269E-6,3.562745E-5,0.06089872,4.278572E-8,4.925575E-4,2.797766E-8,3.739568E-4,6.638985E-6,2.139353E-5,5.062688E-5,8.833636E-6,0.0484559,29.61056
0.1330404,1.0,6.750712E-4,71.77896,1.0,1.009245E8,59.95471,0.9790285,534.5133,1.782103E-8,7.069696E-4,9.834559E-9,0.1973317,4.035935E-7,0.0141714,0.7091231,1.455157E-4,7.818743E-5,0.008140935,0.003966286,3.700627E-4,2.274107E-9,5.105656E-5,1.962771E-10,3.482462E-6,1.418884E-4,2.584984E-4,3.175972E-7,1.459825E-12,5.149547E-14,2.006566E-4,7.731495E-5,2.723911E-9,0.002197042,1.000114E-9,3.061264E-4,2.305636E-5,4.458878E-5,4.698173E-10,5.864494E-10,7.650774E-4,1.633699E-6,2.016618E-7,1.176874E-5,2.603772E-6,3.590553E-5,0.06088078,4.353694E-8,4.964797E-4,2.87943E-8,3.783108E-4,6.698362E-6,2.167745E-5,5.125299E-5,8.91162E-6,0.0484559,29.60917
0.1330729,1.0,6.738669E-4,71.90723,1.0,1.020318E8,59.31543,0.9787371,535.4433,1.806224E-8,7.077566E-4,9.98777E-9,0.1972432,4.079625E-7,0.01422073,0.7090911,1.463603E-4,7.842867E-5,0.008175162,0.003987545,3.717739E-4,2.314801E-9,5.13278E-5,1.991955E-10,3.511882E-6,1.426869E-4,2.594849E-4,3.237188E-7,1.496315E-12,5.336231E-14,2.01807E-4,7.815746E-5,2.778666E-9,0.002206883,1.021863E-9,3.07577E-4,2.319933E-5,4.486169E-5,4.79847E-10,6.015105E-10,7.697055E-4,1.655486E-6,1.993933E-7,1.184246E-5,2.635155E-6,3.618522E-5,0.06086266,4.430442E-8,5.004225E-4,2.963345E-8,3.827094E-4,6.757617E-6,2.196458E-5,5.188593E-5,8.990186E-6,0.0484559,29.60777
0.1331055,1.0,6.726637E-4,72.03585,1.0,1.031541E8,58.68567,0.9784428,536.3756,1.830653E-8,7.085437E-4,1.014348E-8,0.1971544,4.123863E-7,0.01427016,0.7090591,1.472093E-4,7.867002E-5,0.008209493,0.004008892,3.734896E-4,2.35623E-9,5.160011E-5,2.021564E-10,3.54151E-6,1.434881E-4,2.60474E-4,3.299784E-7,1.533746E-12,5.530035E-14,2.029626E-4,7.900752E-5,2.834681E-9,0.002216756,1.044059E-9,3.090326E-4,2.334302E-5,4.513592E-5,4.90104E-10,6.169546E-10,7.743555E-4,1.677559E-6,1.971343E-7,1.191655E-5,2.666841E-6,3.646651E-5,0.06084436,4.508866E-8,5.04386E-4,3.049569E-8,3.871528E-4,6.816732E-6,2.225493E-5,5.252579E-5,9.069339E-6,0.0484559,29.60637
0.133138,1.0,6.714616E-4,72.16482,1.0,1.042917E8,58.06526,0.9781456,537.3105,1.855397E-8,7.093309E-4,1.030172E-8,0.1970653,4.168659E-7,0.0143197,0.7090271,1.480627E-4,7.891148E-5,0.008243928,0.004030325,3.7521E-4,2.398407E-9,5.187349E-5,2.051607E-10,3.571345E-6,1.442918E-4,2.614657E-4,3.363795E-7,1.572143E-12,5.731246E-14,2.041234E-4,7.986519E-5,2.891989E-9,0.002226661,1.066711E-9,3.104933E-4,2.348742E-5,4.541145E-5,5.005937E-10,6.327914E-10,7.790275E-4,1.699921E-6,1.948855E-7,1.199101E-5,2.698832E-6,3.674941E-5,0.06082587,4.589017E-8,5.083702E-4,3.13816E-8,3.916416E-4,6.875687E-6,2.254852E-5,5.317261E-5,9.149081E-6,0.0484559,29.60497
0.1331706,1.0,6.702604E-4,72.29414,1.0,1.054449E8,57.45398,0.9778455,538.2478,1.880457E-8,7.101182E-4,1.046255E-8,0.196976,4.214022E-7,0.01436933,0.7089951,1.489206E-4,7.915305E-5,0.008278467,0.004051845,3.769351E-4,2.441346E-9,5.214795E-5,2.082088E-10,3.60139E-6,1.450982E-4,2.6246E-4,3.429258E-7,1.611531E-12,5.940162E-14,2.052893E-4,8.07305E-5,2.950627E-9,0.002236598,1.08983E-9,3.11959E-4,2.363254E-5,4.56883E-5,5.113219E-10,6.490308E-10,7.837216E-4,1.722575E-6,1.926476E-7,1.206583E-5,2.731129E-6,3.703392E-5,0.06080721,4.670949E-8,5.123749E-4,3.229178E-8,3.96176E-4,6.934465E-6,2.284538E-5,5.382646E-5,9.229416E-6,0.0484559,29.60356
0.1332031,1.0,6.690604E-4,72.42381,1.0,1.06614E8,56.85167,0.9775424,539.1875,1.905839E-8,7.109056E-4,1.0626E-8,0.1968865,4.259961E-7,0.01441907,0.708963,1.49783E-4,7.939471E-5,0.00831311,0.004073453,3.786647E-4,2.485064E-9,5.242347E-5,2.113016E-10,3.631645E-6,1.459071E-4,2.634569E-4,3.49621E-7,1.651938E-12,6.157097E-14,2.064604E-4,8.16035E-5,3.010632E-9,0.002246566,1.113426E-9,3.134297E-4,2.377837E-5,4.596647E-5,5.222944E-10,6.656832E-10,7.884378E-4,1.745526E-6,1.904213E-7,1.214102E-5,2.763735E-6,3.732006E-5,0.06078836,4.754718E-8,5.164001E-4,3.322685E-8,4.007565E-4,6.993046E-6,2.314553E-5,5.448742E-5,9.310348E-6,0.0484559,29.60215
0.1332357,1.0,6.678614E-4,72.55384,1.0,1.077993E8,56.25813,0.9772363,540.1297,1.931546E-8,7.11693E-4,1.079212E-8,0.1967966,4.306486E-7,0.0144689,0.7089309,1.506499E-4,7.963648E-5,0.008347857,0.004095149,3.803989E-4,2.529576E-9,5.270007E-5,2.144398E-10,3.662111E-6,1.467186E-4,2.644563E-4,3.56469E-7,1.69339E-12,6.382375E-14,2.076366E-4,8.248425E-5,3.072043E-9,0.002256567,1.137507E-9,3.149055E-4,2.392493E-5,4.624597E-5,5.335172E-10,6.827591E-10,7.931763E-4,1.768776E-6,1.882073E-7,1.221658E-5,2.796651E-6,3.760781E-5,0.06076933,4.840383E-8,5.204458E-4,3.418743E-8,4.053835E-4,7.051411E-6,2.3449E-5,5.515553E-5,9.391879E-6,0.0484559,29.60073
0.1332682,1.0,6.666635E-4,72.68421,1.0,1.09001E8,55.67318,0.9769273,541.0743,1.957584E-8,7.124806E-4,1.096096E-8,0.1967066,4.353606E-7,0.01451884,0.7088988,1.515213E-4,7.987833E-5,0.008382708,0.004116932,3.821377E-4,2.574897E-9,5.297775E-5,2.176241E-10,3.69279E-6,1.475327E-4,2.654584E-4,3.634737E-7,1.735916E-12,6.616336E-14,2.088181E-4,8.337278E-5,3.1349E-9,0.002266599,1.162085E-9,3.163864E-4,2.407222E-5,4.652678E-5,5.449966E-10,7.002693E-10,7.97937E-4,1.79233E-6,1.860062E-7,1.229251E-5,2.829879E-6,3.789718E-5,0.06075012,4.928004E-8,5.24512E-4,3.517416E-8,4.100573E-4,7.109541E-6,2.375581E-5,5.583087E-5,9.474014E-6,0.0484559,29.59932
0.1333008,1.0,6.654666E-4,72.81493,1.0,1.102194E8,55.09667,0.9766153,542.0214,1.983955E-8,7.132682E-4,1.113256E-8,0.1966163,4.401332E-7,0.01456888,0.7088666,1.523972E-4,8.012028E-5,0.008417664,0.004138804,3.838812E-4,2.621044E-9,5.325651E-5,2.208552E-10,3.723682E-6,1.483493E-4,2.66463E-4,3.706392E-7,1.779546E-12,6.859332E-14,2.100048E-4,8.426916E-5,3.199243E-9,0.002276663,1.18717E-9,3.178723E-4,2.422023E-5,4.680893E-5,5.567387E-10,7.182249E-10,8.0272E-4,1.816192E-6,1.838186E-7,1.236881E-5,2.86342E-6,3.818819E-5,0.06073071,5.017644E-8,5.285985E-4,3.61877E-8,4.147783E-4,7.167415E-6,2.406597E-5,5.651351E-5,9.556756E-6,0.0484559,29.59789
0.1333333,1.0,6.642709E-4,72.946,1.0,1.114548E8,54.52842,0.9763002,542.971,2.010664E-8,7.140559E-4,1.130696E-8,0.1965257,4.449674E-7,0.01461901,0.7088345,1.532777E-4,8.036231E-5,0.008452724,0.004160763,3.856291E-4,2.668033E-9,5.353635E-5,2.241339E-10,3.754788E-6,1.491684E-4,2.674702E-4,3.779694E-7,1.824309E-12,7.111732E-14,2.111967E-4,8.517341E-5,3.265117E-9,0.002286759,1.212772E-9,3.193634E-4,2.436897E-5,4.709242E-5,5.687501E-10,7.366373E-10,8.075255E-4,1.840365E-6,1.816451E-7,1.244548E-5,2.897276E-6,3.848082E-5,0.06071112,5.109372E-8,5.327053E-4,3.722872E-8,4.19547E-4,7.225013E-6,2.437952E-5,5.720351E-5,9.640108E-6,0.0484559,29.59647
0.1333659,1.0,6.630762E-4,73.07743,1.0,1.127076E8,53.96826,0.9759821,543.923,2.037716E-8,7.148437E-4,1.148423E-8,0.1964349,4.498642E-7,0.01466925,0.7088023,1.541627E-4,8.060442E-5,0.008487889,0.004182811,3.873817E-4,2.715882E-9,5.381728E-5,2.27461E-10,3.786109E-6,1.4999E-4,2.6848E-4,3.854688E-7,1.870236E-12,7.37392E-14,2.123938E-4,8.608561E-5,3.332565E-9,0.002296888,1.238903E-9,3.208595E-4,2.451845E-5,4.737724E-5,5.810374E-10,7.555183E-10,8.123534E-4,1.864854E-6,1.794864E-7,1.252253E-5,2.931449E-6,3.877509E-5,0.06069134,5.203255E-8,5.368324E-4,3.829791E-8,4.243638E-4,7.282315E-6,2.469648E-5,5.790093E-5,9.724074E-6,0.0484559,29.59504
