VARIABLES= Temp_[K], H-H298_[kcal/mol], G-H298_[kcal/mol], Cp_[cal/(mol-K)], S_[cal/(mol-K)], Viscosity_[gm/(cm-s)], Therm_Cond_[erg/(cm-s-K)], Dif_Co_with_H2O_[cm^2/s]
   298.15    0.000    -11.026      4.97      36.98     2.3083E-04  1802.          0.2207    
   300.00    0.009    -11.095      4.97      37.01     2.3198E-04  1811.          0.2234    
   310.00    0.059    -11.466      4.97      37.18     2.3812E-04  1859.          0.2384    
   320.00    0.109    -11.838      4.97      37.33     2.4419E-04  1906.          0.2539    
   330.00    0.158    -12.212      4.97      37.49     2.5018E-04  1953.          0.2698    
   340.00    0.208    -12.588      4.97      37.63     2.5610E-04  1999.          0.2861    
   350.00    0.258    -12.965      4.97      37.78     2.6195E-04  2044.          0.3028    
   360.00    0.307    -13.343      4.97      37.92     2.6773E-04  2090.          0.3198    
   370.00    0.357    -13.723      4.97      38.05     2.7345E-04  2134.          0.3373    
   380.00    0.407    -14.104      4.97      38.19     2.7910E-04  2178.          0.3552    
   390.00    0.456    -14.487      4.97      38.32     2.8470E-04  2222.          0.3735    
   400.00    0.506    -14.871      4.97      38.44     2.9023E-04  2265.          0.3921    
   410.00    0.556    -15.256      4.97      38.56     2.9571E-04  2308.          0.4112    
   420.00    0.605    -15.642      4.97      38.68     3.0113E-04  2350.          0.4306    
   430.00    0.655    -16.029      4.97      38.80     3.0650E-04  2392.          0.4503    
   440.00    0.705    -16.418      4.97      38.92     3.1182E-04  2434.          0.4705    
   450.00    0.754    -16.808      4.97      39.03     3.1709E-04  2475.          0.4910    
   460.00    0.804    -17.199      4.97      39.14     3.2231E-04  2516.          0.5118    
   470.00    0.854    -17.590      4.97      39.24     3.2748E-04  2556.          0.5331    
   480.00    0.903    -17.983      4.97      39.35     3.3261E-04  2596.          0.5546    
   490.00    0.953    -18.377      4.97      39.45     3.3769E-04  2636.          0.5766    
   500.00    1.003    -18.772      4.97      39.55     3.4272E-04  2675.          0.5988    
   510.00    1.052    -19.168      4.97      39.65     3.4772E-04  2714.          0.6214    
   520.00    1.102    -19.565      4.97      39.75     3.5267E-04  2753.          0.6444    
   530.00    1.152    -19.963      4.97      39.84     3.5758E-04  2791.          0.6677    
   540.00    1.202    -20.362      4.97      39.93     3.6245E-04  2829.          0.6913    
   550.00    1.251    -20.762      4.97      40.02     3.6729E-04  2867.          0.7152    
   560.00    1.301    -21.163      4.97      40.11     3.7208E-04  2904.          0.7395    
   570.00    1.351    -21.564      4.97      40.20     3.7684E-04  2941.          0.7641    
   580.00    1.400    -21.967      4.97      40.29     3.8157E-04  2978.          0.7891    
   590.00    1.450    -22.370      4.97      40.37     3.8626E-04  3015.          0.8143    
   600.00    1.500    -22.774      4.97      40.46     3.9091E-04  3051.          0.8399    
   610.00    1.549    -23.179      4.97      40.54     3.9554E-04  3087.          0.8658    
   620.00    1.599    -23.585      4.97      40.62     4.0013E-04  3123.          0.8920    
   630.00    1.649    -23.991      4.97      40.70     4.0468E-04  3159.          0.9185    
   640.00    1.698    -24.399      4.97      40.78     4.0921E-04  3194.          0.9453    
   650.00    1.748    -24.807      4.97      40.85     4.1371E-04  3229.          0.9724    
   660.00    1.798    -25.216      4.97      40.93     4.1817E-04  3264.          0.9999    
   670.00    1.847    -25.626      4.97      41.00     4.2261E-04  3298.           1.028    
   680.00    1.897    -26.036      4.97      41.08     4.2702E-04  3333.           1.056    
   690.00    1.947    -26.447      4.97      41.15     4.3140E-04  3367.           1.084    
   700.00    1.996    -26.859      4.97      41.22     4.3576E-04  3401.           1.113    
   710.00    2.046    -27.272      4.97      41.29     4.4008E-04  3435.           1.142    
   720.00    2.096    -27.685      4.97      41.36     4.4439E-04  3468.           1.171    
   730.00    2.145    -28.099      4.97      41.43     4.4866E-04  3502.           1.200    
   740.00    2.195    -28.513      4.97      41.50     4.5291E-04  3535.           1.230    
   750.00    2.245    -28.929      4.97      41.56     4.5714E-04  3568.           1.260    
   760.00    2.294    -29.345      4.97      41.63     4.6134E-04  3601.           1.290    
   770.00    2.344    -29.761      4.97      41.70     4.6552E-04  3633.           1.321    
   780.00    2.394    -30.179      4.97      41.76     4.6967E-04  3666.           1.352    
   790.00    2.444    -30.597      4.97      41.82     4.7380E-04  3698.           1.383    
