TITLE="Graphics"
VARIABLES= "koeff", "vel500_chemk"
 4.98094027954257e-001    1.80512820512821e+003
 6.01016518424396e-001    1.99743589743590e+003
 7.00127064803050e-001    2.16410256410256e+003
 7.99237611181703e-001    2.30299145299145e+003
 9.00254129606099e-001    2.41196581196581e+003
 9.99364675984752e-001    2.48247863247863e+003
 1.10038119440915e+000    2.50170940170940e+003
 1.20139771283355e+000    2.48461538461538e+003
 1.29860228716645e+000    2.45470085470085e+003
 1.39961880559085e+000    2.41837606837607e+003
 1.50063532401525e+000    2.38418803418803e+003
 1.59974587039390e+000    2.34786324786325e+003
 1.70076238881830e+000    2.31153846153846e+003
 1.79987293519695e+000    2.27735042735043e+003
 1.90088945362135e+000    2.24316239316239e+003
